Interface,Color,Time,Correct
baseline,red,1517616304783,0
h3,red,580,0
plain,brown,404,0
baseline,yellow,144,0
baseline,yellow,144,1
h2,yellow,119,0
cube,green,130,0
h1,red,180,0
h2,green,169,0
h3,green,160,0
h3,yellow,175,0
h1,brown,152,0
cube,yellow,208,0
h3,purple,167,0
h2,blue,193,1
baseline,purple,159,0
plain,green,24,0
h1,brown,168,0
plain,red,183,0
baseline,yellow,168,0
baseline,green,185,1
h3,green,144,0
h1,blue,167,0
cube,yellow,224,1
h1,green,176,0
h1,blue,167,0
h2,brown,184,0
h2,yellow,183,0
h1,red,176,0
baseline,green,177,0
baseline,brown,183,0
cube,purple,175,0
cube,red,193,0
h2,red,175,1
h3,purple,207,0
plain,yellow,191,0
baseline,purple,185,0
baseline,purple,176,0
h3,purple,215,0
baseline,brown,192,0
h1,purple,192,0
h3,green,168,0
baseline,red,192,1
plain,red,200,0
cube,brown,192,0
plain,purple,184,0
h2,blue,175,0
h3,red,191,0
baseline,brown,175,0
plain,brown,184,1
